family,recordId,field,hasValue,stageReady
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,sourceRole,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,sourceUrl,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,finalUrl,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,artifactPath,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,sha256,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,fetchedAt,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,supportingText,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,supportingPageLocation,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,authority,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,agency,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,provenanceUrl,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,sourceRole,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,sourceUrl,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,finalUrl,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,artifactPath,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,sha256,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,fetchedAt,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,supportingText,1,1
dd_routing,california|dd_routing|early-start-frc|regional_intake_and_family_resource_center_directory|3d5cc97ae5e996d38e2f3304938d29e0dfd36892a8a84bc10d71bf325810c9fb,supportingPageLocation,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,authority,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,agency,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,provenanceUrl,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,sourceRole,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,sourceUrl,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,finalUrl,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,artifactPath,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,sha256,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,fetchedAt,1,1
