Found 2244 usages of dead/stale URLs:
Table: county_offices            | Column: source_url   | ID: off-flagler-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-santa-rosa-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-okaloosa-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-walton-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-jackson-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-gadsden-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-madison-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-taylor-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-suwannee-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-columbia-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-bradford-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-putnam-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-citrus-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-glades-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-jefferson-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-hamilton-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-lafayette-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-dixie-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-gilchrist-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-levy-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-union-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-franklin-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-wakulla-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-liberty-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-florida-dcf-call-center | Value: https://www.myflfamilies.com/ACCESS
Table: school_districts          | Column: website      | ID: sd-clearcreek-isd         | Value: https://www.ccisd.net/specialeducation
Table: school_districts          | Column: website      | ID: sd-corpuschristi-isd      | Value: https://www.ccisd.us/Special-Education
Table: school_districts          | Column: website      | ID: sd-cyfair-isd             | Value: https://www.cfisd.net/Page/1886
Table: school_districts          | Column: website      | ID: sd-conroe-isd             | Value: https://www.conroeisd.net/department/special-education/
Table: school_districts          | Column: website      | ID: sd-denton-isd             | Value: https://www.dentonisd.org/specialeducation
Table: school_districts          | Column: website      | ID: sd-edinburg-cisd          | Value: https://www.ecisd.us/apps/pages/special-education
Table: school_districts          | Column: website      | ID: sd-fortbend-isd           | Value: https://www.fortbendisd.com/sped
Table: school_districts          | Column: website      | ID: sd-fortworth-isd          | Value: https://www.fwisd.org/page/1199
Table: school_districts          | Column: website      | ID: sd-houston-isd            | Value: https://www.houstonisd.org/sped
Table: school_districts          | Column: website      | ID: sd-northside-isd          | Value: https://www.nisd.net/schools/special-education
Table: school_districts          | Column: website      | ID: sd-pearland-isd           | Value: https://www.pearlandisd.org/departments/special-education
Table: school_districts          | Column: website      | ID: sd-plano-isd              | Value: https://www.pisd.edu/sped
Table: school_districts          | Column: website      | ID: sd-lancaster-pa           | Value: https://sdolancaster.org/
Table: school_districts          | Column: website      | ID: sd-bucks-pa               | Value: https://www.pennsbury.k12.pa.us
Table: school_districts          | Column: source_url   | ID: sd-clearcreek-isd         | Value: https://www.ccisd.net/specialeducation
Table: school_districts          | Column: source_url   | ID: sd-corpuschristi-isd      | Value: https://www.ccisd.us/Special-Education
Table: school_districts          | Column: source_url   | ID: sd-cyfair-isd             | Value: https://www.cfisd.net/Page/1886
Table: school_districts          | Column: source_url   | ID: sd-conroe-isd             | Value: https://www.conroeisd.net/department/special-education/
Table: school_districts          | Column: source_url   | ID: sd-denton-isd             | Value: https://www.dentonisd.org/specialeducation
Table: school_districts          | Column: source_url   | ID: sd-edinburg-cisd          | Value: https://www.ecisd.us/apps/pages/special-education
Table: school_districts          | Column: source_url   | ID: sd-fortbend-isd           | Value: https://www.fortbendisd.com/sped
Table: school_districts          | Column: source_url   | ID: sd-fortworth-isd          | Value: https://www.fwisd.org/page/1199
Table: school_districts          | Column: source_url   | ID: sd-houston-isd            | Value: https://www.houstonisd.org/sped
Table: school_districts          | Column: source_url   | ID: sd-northside-isd          | Value: https://www.nisd.net/schools/special-education
Table: school_districts          | Column: source_url   | ID: sd-pearland-isd           | Value: https://www.pearlandisd.org/departments/special-education
Table: school_districts          | Column: source_url   | ID: sd-plano-isd              | Value: https://www.pisd.edu/sped
Table: school_districts          | Column: source_url   | ID: sd-lancaster-pa           | Value: https://sdolancaster.org/
Table: school_districts          | Column: source_url   | ID: sd-bucks-pa               | Value: https://www.pennsbury.k12.pa.us
Table: school_districts          | Column: source_url   | ID: sd-palestine-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-andrews-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-lufkin-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-rockport-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-archer-city-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-claude-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-jourdanton-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-bellville-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-muleshoe-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-bandera-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-bastrop-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-seymour-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-beeville-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
